hosptals,2020_resp_total number of testes patients,2020_resp_number of patients_E. coli,2020_resp_isolation rate_E. coli,2020_resp_number of patients_K. pneumoniae,2020_resp_isolation rate_K. pneumoniae,2020_resp_number of patients_3GCRKP,2020_resp_isolation rate_3GCRKP,2020_resp_number of patients_3GCREC,2020_resp_isolation rate_3GCREC,2020_urine_total number of tested patients,2020_urine_number of patients_E. coli,2020_urine_isolation rate_E. coli,2020_urine_number of patients_K. pneumoniae,2020_urine_isolation rate_K. pneumoniae,2020_urine_number of patients_3GCRKP,2020_urine_isolation rate_3GCRKP,2020_urine_number of patients_3GCREC,2020_urine_isolation rate_3GCREC,2020_blood_total number of tested patients,2020_blood_number of patients_E. coli,2020_blood_isolation rate_E. coli,2020_blood_number of patients_K. pneumoniae,2020_blood_isolation rate_K. pneumoniae,2020_blood_number of patients_3GCRKP,2020_blood_isolation rate_3GCRKP,2020_blood_number of patients_3GCREC,2020_blood_isolation rate_3GCREC,2020_stool_total number of tested patients,2020_stool_number of patients_E. coli,2020_stool_isolation rate_E. coli,2020_stool_number of patients_K. pneumoniae,2020_stool_isolation rate_K. pneumoniae,2020_stool_number of patients_3GCRKP,2020_stool_isolation rate_3GCRKP,2020_stool_number of patients_3GCREC,2020_stool_isolation rate_3GCREC
37,105,4,0.0381,9,0.0857,1,0.0095,1,0.0095,50,10,0.2,3,0.06,0,0,0,0,100,6,0.06,2,0.02,0,0,2,0.02,19,4,0.2105,0,0,0,0,0,0
38,115,7,0.0609,18,0.1565,0,0,1,0.0087,55,17,0.3091,6,0.1091,0,0,3,0.0545,51,9,0.1765,3,0.0588,0,0,0,0,79,0,0,0,0,0,0,0,0
39,155,5,0.0323,7,0.0452,0,0,0,0,38,12,0.3158,6,0.1579,0,0,1,0.0263,38,1,0.0263,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
40,165,5,0.0303,3,0.0182,0,0,2,0.0121,43,18,0.4186,6,0.1395,0,0,5,0.1163,12,0,0,0,0,0,0,0,0,145,2,0.0138,0,0,0,0,2,0.0138
41,285,14,0.0491,20,0.0702,0,0,0,0,261,53,0.2031,9,0.0345,1,0.0038,7,0.0268,271,12,0.0443,5,0.0185,0,0,0,0,70,28,0.4,13,0.1857,0,0,0,0
42,198,16,0.0808,17,0.0859,0,0,3,0.0152,225,56,0.2489,4,0.0178,0,0,12,0.0533,228,10,0.0439,3,0.0132,0,0,1,0.0044,145,59,0.4069,19,0.131,0,0,0,0
43,385,22,0.0571,24,0.0623,0,0,2,0.0052,180,57,0.3167,9,0.05,2,0.0111,2,0.0111,179,8,0.0447,6,0.0335,1,0.0056,1,0.0056,11,3,0.2727,0,0,0,0,0,0
44,28,0,0,1,0.0357,0,0,0,0,39,11,0.2821,1,0.0256,0,0,3,0.0769,19,1,0.0526,0,0,0,0,0,0,73,5,0.0685,0,0,0,0,2,0.0274
45,220,6,0.0273,7,0.0318,0,0,0,0,163,43,0.2638,11,0.0675,0,0,7,0.0429,224,6,0.0268,3,0.0134,0,0,2,0.0089,30,1,0.0333,0,0,0,0,0,0
46,106,10,0.0943,7,0.066,0,0,1,0.0094,138,52,0.3768,8,0.058,0,0,7,0.0507,130,10,0.0769,1,0.0077,0,0,0,0,17,11,0.6471,2,0.1176,0,0,0,0
47,82,4,0.0488,11,0.1341,0,0,0,0,74,28,0.3784,1,0.0135,1,0.0135,5,0.0676,82,8,0.0976,0,0,0,0,0,0,18,5,0.2778,1,0.0556,0,0,0,0
48,61,2,0.0328,6,0.0984,0,0,1,0.0164,171,21,0.1228,6,0.0351,0,0,7,0.0409,166,4,0.0241,2,0.012,0,0,0,0,20,1,0.05,0,0,0,0,0,0
49,161,21,0.1304,13,0.0807,0,0,4,0.0248,205,43,0.2098,13,0.0634,0,0,10,0.0488,192,11,0.0573,2,0.0104,0,0,3,0.0156,46,14,0.3043,7,0.1522,0,0,0,0
